Name,Pronouns,UFL Email,Phone,Socials,Year,Major,Other Orgs,"Role (0=Big,1=Little)",Preferred Littles,Preferred Bigs,Pairing Requests (Optional),"On/Off Campus (0=On,1=Off)","Has Car (0=No,1=Yes)",Ideal Big/Little,Looking For ACE,Free Time,Hobbies,Favorite Artists/Songs,Icks,Talk for Hours About,Self Description,Best Joke,Favorite Food,"EarlyBird/NightOwl (0=Early,1=Night)",Extroversion (1-5),Good Advice (1-5),Plans Style (1-5),Study Frequency (1-5),Gym Frequency (1-5),Spending Habits (1-5),Friday Night,Additional Info (Optional)
Taylor Jarvis,they/them,daniel910@ufl.edu,(673)774-0860,@jeffrey63,0,Finance,VSO,1,,2.0,,1,0,Shares similar hobbies,Network and make friends,photography,"traveling, music, movies",Drake - K-pop,Being late,fashion trends,Ahead ten civil theory fly ready skin against.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,4,4,3,3,1,3,gaming all night,I love hanging out at Plaza of Americas
Corey Knox,she/her,gabriel680@ufl.edu,1713894873,@chris19,0,Mechanical Engineering,FSA,1,,2.0,,0,1,Shares similar hobbies,Guide underclassmen,photography,"music, reading",Taylor Swift - R&B,Bad hygiene,movies & TV shows,Defense stage fall where his laugh mention.,I only know 25 letters of the alphabet. I don’t know y.,Asian,0,3,3,3,4,2,2,gaming all night,I love hanging out at Plaza of Americas
Mark Reyes,they/them,julie359@ufl.edu,(044)445-6922x353,@tracy38,0,Computer Science,VSO,1,,4.0,,1,1,Shares similar hobbies,Guide underclassmen,cooking,gaming,The Weeknd - R&B,Talking over others,fashion trends,Seven hand across anything also bad it site.,What do you call fake spaghetti? An impasta!,Greek/Mediterranean,1,3,3,3,3,1,5,gaming all night,
Kathleen Ballard,she/her,tara913@ufl.edu,119.318.8215,@james40,0,Finance,AAA,1,,3.0,Prefer someone from AAA,1,1,Fun and outgoing,Network and make friends,traveling,"traveling, photography",Joji - EDM,Talking over others,fashion trends,Situation drive they general involve risk student sing action trip contain approach statement doctor career.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,0,4,4,1,3,1,2,gaming all night,
Dawn Coleman,they/them,angela816@ufl.edu,931-155-4194x903,@joseph45,0,Data Science,HSA,1,,1.0,Prefer someone also into K-pop,0,0,Chill and introverted,Find a mentor,cooking,"gym, photography",Joji - K-pop,Overusing emojis,gaming strategies,Crime area strategy bill physical American couple present.,I only know 25 letters of the alphabet. I don’t know y.,American,1,2,2,2,4,2,1,dinner with friends,
Gabriela Crawford,they/them,justin444@ufl.edu,(919)419-2589x261,@catherine65,0,Marketing,None,1,,5.0,Prefer someone from AAA,0,1,Fun and outgoing,Meet new people,painting,painting,The Weeknd - R&B,Bad hygiene,sports,Name himself high area surface personal challenge follow.,What do you call fake spaghetti? An impasta!,Mexican,0,3,2,1,3,2,2,going out,Looking for study buddies
Tracy Holland,he/him,rodney684@ufl.edu,001-397-577-0452,@michael74,0,Finance,VSO,1,,4.0,Prefer someone also into K-pop,1,0,Supportive and caring,Network and make friends,cooking,"music, gaming, photography",SZA - EDM,Bad hygiene,AI & tech,Newspaper well child night though stop baby run provide season often behind this product tell.,What do you call fake spaghetti? An impasta!,Mexican,1,4,2,1,5,5,3,sleeping early,
Dwayne Johnson,he/him,edward66@ufl.edu,001-932-707-9544x74028,@tina35,0,Data Science,HSA,1,,1.0,Prefer someone also into K-pop,1,0,Supportive and caring,Find a mentor,cooking,music,Taylor Swift - EDM,Bad hygiene,sports,Light on southern put off issue then watch its can current fish painting key friend clear.,Why did the scarecrow get promoted? He was outstanding in his field.,Asian,1,2,2,1,5,1,2,studying at Marston,
Kathy Zamora,he/him,cory532@ufl.edu,6077987464,@john42,0,Biology,AAA,1,,4.0,Prefer someone same major,0,1,Chill and introverted,Meet new people,traveling,"gaming, gym, traveling",Post Malone - R&B,Bad hygiene,gaming strategies,Treatment image fast none report third sign yeah support maybe term food.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,0,4,2,2,3,4,3,movie night,I love hanging out at Plaza of Americas
Jared Pham,she/her,diane422@ufl.edu,647.383.1353x763,@dorothy77,0,Computer Science,None,1,,5.0,,1,0,Supportive and caring,Find a mentor,music,"photography, music",NewJeans - Lo-fi,Bad hygiene,sports,Their office station major including media call.,I only know 25 letters of the alphabet. I don’t know y.,I would literally eat anything,0,4,3,2,5,1,3,going out,I love hanging out at Plaza of Americas
Jessica Nelson,he/him,meredith176@ufl.edu,+1-966-969-0904,@judith65,0,Biology,CSA,1,,4.0,,1,0,Chill and introverted,Guide underclassmen,cooking,"music, painting",NewJeans - Pop,Bad hygiene,gaming strategies,Know organization another try lot ago yes which.,Why did the scarecrow get promoted? He was outstanding in his field.,Italian,0,4,4,3,4,1,3,gaming all night,
Matthew Barr,he/him,jennifer899@ufl.edu,+1-880-283-7824x63024,@charles34,0,Data Science,AAA,1,,3.0,Prefer someone also into K-pop,0,1,Supportive and caring,Guide underclassmen,reading,"gaming, gym, cooking",Drake - Indie,Talking over others,AI & tech,Week give road necessary third deal on.,Why did the scarecrow get promoted? He was outstanding in his field.,Greek/Mediterranean,0,4,2,2,4,3,4,dinner with friends,
Michelle Casey,she/her,teresa134@ufl.edu,1415542379,@andrea68,0,Data Science,CSA,1,,4.0,Prefer someone also into K-pop,1,0,Supportive and caring,Guide underclassmen,painting,gym,The Weeknd - Pop,Overusing emojis,fashion trends,Too tonight though hard economy third take behind case.,What do you call fake spaghetti? An impasta!,Asian,0,2,4,2,5,1,3,gaming all night,I love hanging out at Plaza of Americas
Ronald Tran,he/him,linda216@ufl.edu,902-719-0799,@jeremy16,0,Mechanical Engineering,FSA,1,,2.0,Prefer someone also into K-pop,1,0,Supportive and caring,Meet new people,painting,gym,Taylor Swift - Indie,Being late,movies & TV shows,Course keep ten fall anyone media third.,I only know 25 letters of the alphabet. I don’t know y.,Greek/Mediterranean,1,2,4,2,2,2,4,sleeping early,
Daniel Wiley,they/them,shelly720@ufl.edu,001-703-283-6542x341,@richard26,0,Finance,None,1,,2.0,,0,1,Chill and introverted,Find a mentor,music,"painting, music",Drake - Lo-fi,Being late,movies & TV shows,Road pass employee husband control radio leave officer tend peace rule in beautiful.,I only know 25 letters of the alphabet. I don’t know y.,Mexican,1,3,2,2,5,3,5,movie night,
Zachary Suarez,he/him,janet591@ufl.edu,(462)291-9122,@christine90,0,Marketing,AAA,1,,5.0,Prefer someone also into K-pop,0,1,Fun and outgoing,Meet new people,gaming,gym,Drake - Rock,Being late,AI & tech,Third whom purpose family too stage determine.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,1,3,3,1,2,2,2,gaming all night,I love hanging out at Plaza of Americas
Kimberly Williams,he/him,dustin434@ufl.edu,812-998-4028,@kevin60,0,Finance,VSO,1,,1.0,,0,0,Shares similar hobbies,Meet new people,gaming,"gym, painting, movies",Post Malone - EDM,Chewing loudly,movies & TV shows,Its arm by probably attention thousand conference television friend choose argue environment bring husband production.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,1,2,2,3,5,4,5,gaming all night,
Michael Williams,they/them,kyle166@ufl.edu,704.713.1353,@laura51,0,Computer Science,None,1,,1.0,Prefer someone also into K-pop,0,0,Fun and outgoing,Guide underclassmen,painting,music,SZA - Pop,Chewing loudly,gaming strategies,Movie until major state adult able than security former pay half.,What do you call fake spaghetti? An impasta!,American,0,2,4,1,5,5,4,studying at Marston,
Anthony Chen,they/them,anne634@ufl.edu,001-498-689-5650x0682,@kim23,0,Mechanical Engineering,None,1,,1.0,,0,1,Shares similar hobbies,Meet new people,reading,"gaming, reading",Taylor Swift - Pop,Overusing emojis,gaming strategies,Have sea same real finish possible drug that kitchen her player step energy first level often.,Why don’t skeletons fight each other? They don’t have the guts.,American,0,4,3,3,5,2,4,movie night,I love hanging out at Plaza of Americas
Thomas White,he/him,monica795@ufl.edu,475.916.4904x6531,@erica59,0,Computer Science,None,1,,2.0,Prefer someone also into K-pop,1,1,Chill and introverted,Meet new people,gym,"gaming, traveling",Drake - Rock,Talking over others,fashion trends,Recently experience case prepare job firm star shake.,Why don’t skeletons fight each other? They don’t have the guts.,Asian,0,4,3,3,3,2,2,movie night,Looking for study buddies
Carrie Martin,they/them,sarah661@ufl.edu,990.370.9583,@jane73,0,Computer Science,FSA,1,,5.0,Prefer someone from AAA,0,1,Chill and introverted,Meet new people,painting,photography,SZA - K-pop,Being late,movies & TV shows,Star often nature light home couple really race.,Why did the scarecrow get promoted? He was outstanding in his field.,American,1,4,4,2,4,5,4,gaming all night,I love hanging out at Plaza of Americas
Julie Johnson,he/him,karen589@ufl.edu,542.414.0175x33867,@nancy70,0,Finance,AAA,1,,4.0,,0,0,Fun and outgoing,Network and make friends,cooking,"movies, painting, reading",NewJeans - Pop,Chewing loudly,k-pop gossip,Today speech agent contain two crime rule rest recently ahead few.,Why did the scarecrow get promoted? He was outstanding in his field.,I would literally eat anything,1,3,4,3,3,5,3,gaming all night,I love hanging out at Plaza of Americas
Lindsay Cox,they/them,ronald879@ufl.edu,070.274.8893,@michele43,0,Marketing,None,1,,2.0,,0,1,Fun and outgoing,Find a mentor,photography,"cooking, photography, gym",Drake - K-pop,Chewing loudly,movies & TV shows,Them image author Democrat win program prove.,Why did the scarecrow get promoted? He was outstanding in his field.,Mexican,0,2,3,3,4,3,4,going out,
Dr. Kaitlyn Carey,they/them,jeremy487@ufl.edu,216-394-9729x7025,@malik41,0,Mechanical Engineering,AAA,1,,1.0,Prefer someone same major,1,1,Fun and outgoing,Meet new people,gaming,"reading, movies",NewJeans - Rock,Bad hygiene,gaming strategies,Option yet brother mouth production six production far under bag option director make.,What do you call fake spaghetti? An impasta!,American,0,3,3,3,5,2,3,dinner with friends,
Mike Luna,they/them,nicole139@ufl.edu,831.689.5819x82046,@amy9,0,Biology,AAA,1,,1.0,,1,0,Fun and outgoing,Guide underclassmen,gaming,"music, gym, gaming",Post Malone - Rock,Bad hygiene,fashion trends,Economy figure total answer real degree wide power own play since fly interesting usually if.,Why don’t skeletons fight each other? They don’t have the guts.,Mexican,0,4,4,2,2,1,5,dinner with friends,
Sandra Guzman,he/him,taylor827@ufl.edu,001-474-126-0919x37779,@erica90,0,Mechanical Engineering,FSA,1,,3.0,Prefer someone also into K-pop,1,1,Fun and outgoing,Meet new people,photography,cooking,SZA - R&B,Bad hygiene,AI & tech,Many room worker happen stage ask especially month sign population thousand far treat.,Why don’t skeletons fight each other? They don’t have the guts.,I would literally eat anything,0,3,4,3,3,5,1,studying at Marston,
